Tweets
RT  mrbenwexler  Just an observation  I ve seen literally dozens of  conservative intellectuals  claim that Obama  inflamed racial tensions 
RT  QBlueSkyQ   POTUS  GenFlynn  StormIsUponUs  LisaMei62  realDonaldTrump  SeanCordicon Jeffrey  Epstein  Former Member Of the Counsel on 
 TLAM59  thehill About the same time McConnell decided he was going to obstruct everything Obama did. I m not sure   
RT  Dennis17Viper   smfehir  EJWalters1 Have you met Skippy 
Canada s answer to Obama     
RT  ABC  Donald Trump specifically has been invoked in connection with violent acts  threats of violence or assault allegations in at least 
RT  mrbenwexler  Just an observation  I ve seen literally dozens of  conservative intellectuals  claim that Obama  inflamed racial tensions 
RT  ChrisJZullo   realDonaldTrump Trump should be kissing Obama s ass. Obama inherited recession. Took market from 7 000 to 20 000. Unemplo 
RT  MaxResende5  Michelle   uma mulher linda  inteligente  honesta  querida  boa m e e espetacular. O marido dela   um GRANDE PRESIDENTE.Pa 
Rename Fifth Avenue in front of Trump Tower   President Barack H. Obama Avenue      moveon
RT  TomFitton  Mr. Brennan demonstrates the motivation behind the Obama gang s spying and sedition targeting  realDonaldTrump.   
RT  driufc  Que eleg ncia da fam lia Michelle Obama  

Obama  vc ganhou na loteria. 
Parab ns pela Michelle e pela fam lia 

 SomosTodosMic 
RT  TomFitton  Mr. Brennan demonstrates the motivation behind the Obama gang s spying and sedition targeting  realDonaldTrump.   
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
RT  Slate  Soon Trump will be mentioning Greenland on the stump and blaming Obama for not buying it.  
RT  da13thsun  President Barack Obama made homosexual marriage legal against ELOYHIM LAWS.
BARUCH or BARAKU IS A BLESSING OR CURSE.
OBAMA w 
RT  driufc  Cada PRESIDENTE tem a Michelle que merece.

No caso do Obama  Ele encontrou uma joia rara.  

 SomosTodosMichelle    
 RepJeffries Bush left 26.2 MILLION on foodstamps 

Obama left 44.2 MILLION ppl on foodstamps.

DT after 2 years DOWN 5.7 MILLION
 jon roads  RobertJenrick  sajidjavid What part of uncontrolled migration is the Obama way of doing things which re   
RT  BreitbartNews  Remember when Obama used to donate his entire  400 000.00 presidential salary each year 

Me neither.
   
RT  TravisAllen02  How do you get Trump to change a light bulb 

Tell him Obama put it there.
RT  SacredFireSOL  This squad of Anti American  Pro Democrat  Israel Hating women would have been promoted during Obama s presidency to far 
RT  TyWorley2  13  Hundreds of people have traveled to this SICK island...

This includes 

Joe Biden
John McCain
John Podesta
Tony Podesta 
RT  JohnJHarwood  economic growth has peaked at 3.5  in two of the ten quarters of Trump s presidency

3.5  is strong

but when Trump says 
RT  TomFitton  Mr. Brennan demonstrates the motivation behind the Obama gang s spying and sedition targeting  realDonaldTrump.   
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
ufaa  tava achando que voce tava falando da michelle bolsonaro kksksk
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
RT  MaxResende5  Michelle   uma mulher linda  inteligente  honesta  querida  boa m e e espetacular. O marido dela   um GRANDE PRESIDENTE.Pa 
RT  mehdirhasan  Think what Obama s poll numbers would have been like if you and millions of conservatives hadn t falsely accused him of be 
RT  TaxReformExpert  Barack Obama warned Joe Biden against running for president.

 You don t have to do this  Joe  you really don t   Obam 
 therealmerkins  tamanosou Bernie renames post offices. If he really wanted to expand the social safety net  he d s   
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  LadyJustice4EVR  Just when they thought Fast  amp  Furious was buried amongst all those other hidden documents  this new release again reve 
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
RT  BreitbartNews  Remember when Obama used to donate his entire  400 000.00 presidential salary each year 

Me neither.
   
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  TomFitton  Deep State attacks  realDonaldTrump every day  in every way.  
RT  LouDobbs   AmericaFirst   TomFitton  Halper was a spy for the Obama admin. He was tasked by the FBI to conduct intel operations against 
RT  ScarletAvengers  trump supporters   o c I don t agree w all the racist stuff  but he s good for the economy. 
Donny Deutsch   Guess wha 
RT  benshapiro  Remember that time the Obama administration barred a member of Israeli Knesset from entering the United States in 2012  Bec 
RT  Amyloukingery  Obama went to Occidental College before Columbia and Harvard but his records are sealed because he was a foreign student 
RT  TomFitton  Clinton agent Nellie Ohr may as well as have had a desk at Obama Justice Department to help target  RealDonaldTrump.  PLUS C 
RT  optionbag   mariadestrella  GeorgePapa19  JohnBrennan Obama s DOJ was complete corruption
RT  ItsTalking   StirlingMorris Checking your history timeline you never once opened your mouth when Obama decided to build these cages and 
Danish all them cause they are unamerican  Obama spy BOMBSHELL will cause heads to explode   via  ReadTheHornNews
 realDonaldTrump I HAVE A SUBSCRIPTION TO EPOCH TIMES AND ITS REFRESHING   STILL WATCH SUNDAY MORNING TO SEE WHAT T   
INDEED.
RT  atensnut  This is why Obama didn t want him to run. Their administration has too many dark secrets that may now be exposed.   
RT  sandy   21    Let s See The Emails  Let s See The Emails   Newly Uncovered Evidence Confirms Obama s White House Ran the Weiner Email I 
 michaeljohns  MichaelRCaputo Now for the part you guys don t want to  and won t address  how does the president hi   
RT  mrbenwexler  Just an observation  I ve seen literally dozens of  conservative intellectuals  claim that Obama  inflamed racial tensions 
 C 3C 3  MEPforTrump What he doesn t realize is Obama picked him to sit there shut up and look pretty. Obama could   
 rcharlesperez  Weinsteinlaw How many days did Obama spend at trump properties 
RT  mmpadellan  For 8 years  trump trolled Obama
  on his Birth Certificate
  on the stock market
  on vacations
  on golfing

If 5th Ave w 
 shaunking  BernieSanders does that plan include the arrest of Barack Obama and Hillary Clinton Bill Clinton and th   
RT  ScarletAvengers  trump supporters   o c I don t agree w all the racist stuff  but he s good for the economy. 
Donny Deutsch   Guess wha 
RT  michaelbeatty3  BOOM on RUSSIA HOAX
 Maria  WHO DO YOU THINK WAS THE MASTERMIND OF THIS 
Graham  C A  OBAMA 
 QAnon  realDonaldTrump  M 
This    sums it up nicely. Well said  akkitwts
RT  AAPSonline  Medicaid covers millions who exceed income thresholds  some quite well heeled  new study finds.  
RT  ZionistGirl18   KellyannePolls  politico Know how the  DNC works 
 Kamala Harris Owns A Gun But Doesn t Want YOU To

 Bernie Sanders Ma 
RT  C 3C 3  Want to be furious 

Its been over 900 days since PATRIOT General Flynn s name was unmasked and illegally leaked by a member of 
RT  KaylaPeum  Coward Antifa members cause hate  violence show their true unAmerican colors. They may have the  freedom of speech  but they 
RT  soneill50   mmpadellan and of course...that big building would then be called OBAMA TOWER...makes sense.
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
 SomosTodosMichelle Obama eu espero...
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
It makes people feel like they re  doing something  other than passing time. Helps keep the powerlessness at bay. A   
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
 realDonaldTrump We are tired of the lies from MSM  They protected Obama and attack Trump with impunity. They conju   
 pjhoody  D351263819  axios Remember when he claimed  with a straight face  that the unemployment rate was probably   
RT  TomFitton  Mr. Brennan demonstrates the motivation behind the Obama gang s spying and sedition targeting  realDonaldTrump.   
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
 johnmcrenshaw  RichSementa  realDonaldTrump He s talking about eliminating Obama s policies.  All great stuff.

TDS
 lbrot1  ka2wye  obama  YourAnonCentral  antifa Exactly  basically Young Skinny Kids  without a Group would get the   
RT  joncoopertweets  Beyonc    I am so grateful that my daughters and my son live in a world where Michelle Obama shines as a beacon of hop 
RT  JudLounsbury  Obama inflamed racial tensions by not being a white president.  
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
 realDonaldTrump Donald Trump specifically has been invoked in connection with violent acts  threats of violence or   
RT  CNN   Obama Avenue would serve a dual purpose The man who rose to fame by spraying his name on everything imaginable would find that ev 
RT  CNN   I thought  why not make it a petition  and just see if we could honestly troll the troll king.  Elizabeth Rowin created a petitio 
RT  SeorG14  El Kirchnerismo llama a Dujovne  peor Ministro de Econom a de la historia . Parece que AMADO BOUDOU  un delincuente y corrupto 
 MambaJoseph22 After Obama..  2 stll good
RT  AnnaApp91838450  Good Morning America  
Patriots Loyal Followers 
MAGA WalkAway s Let Us
Never Forget How Blessed 
We Are God Sent Us
P 
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
RT  JohnJHarwood  economic growth has peaked at 3.5  in two of the ten quarters of Trump s presidency

3.5  is strong

but when Trump says 
 ThumperUSA Btw  Trump ISN T the best President in History. He s the worst  amp  Barack Obama was the BEST   
RT  bopinion  After examining 14 indicators of economic prosperity  here are the best to worst performing presidents since 1976 

1. Clinto 
RT  BreitbartNews  Remember when Obama used to donate his entire  400 000.00 presidential salary each year 

Me neither.
   
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
RT  IsraelUSAforevr  WOW
3 intel sources have disclosed that Obama turned to British spies to get surveillance on Trump  

  
 twytter14  realDonaldTrump  tashlutsa  CLewandowski  Really  Looks like you re destroying Obama s work. Like you d   
 Deli Fresh  DeplorableMee  One US Citizen  mynameisNegan Obama let Iran  China  NK AND Russia walk all over him. Lol
RT  buckywaititi  110. harry x obama otp  
bolsominion deu fav  sera que sabe que eu to falando do lixo que   o bolsolixo  pq barack obama   rei
RT  TomFitton  Mr. Brennan demonstrates the motivation behind the Obama gang s spying and sedition targeting  realDonaldTrump.   
RT  ChrisJZullo   realDonaldTrump When President Obama left office the annual budget deficit was  504 billion. Thanks to Donald Trump and R 
RT  TyWorley2  13  Hundreds of people have traveled to this SICK island...

This includes 

Joe Biden
John McCain
John Podesta
Tony Podesta 
Completamente convencida da inoc ncia do Obama
RT  synthninja85  O Obama   T o Lindo N      Melhor Presidente Que Os Estados Unidos J  Teve     O Jeito Que Ele Aumentou O Programa De Esp 
 perlmutations Obama built the cages. Might want to do a little fact checking.
RT  ZionistGirl18   KellyannePolls  politico Know how the  DNC works 
 Kamala Harris Owns A Gun But Doesn t Want YOU To

 Bernie Sanders Ma 
RT  luzabrg  EXCLUSIVE  Newly Uncovered Evidence Confirms Obama s White House Ran the Weiner Email Investigation   What Was in These Emails 
 JADEHELM   Joint Assistance for Deployment Execution Homeland Eradication of Local Militants  amp  was the  Cleanup Cr   
RT  VenezolanaReal  Conmemoramos 4 a os de aquel fat dico decreto de AMENAZA INUSUAL por parte de Obama y ud Sr Presidente lo  nico que ha 
 T S P O O K Y  BernieSanders  tedwheeler So many laws against racism already. People of color can do anything I  a   
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
RT  BreitbartNews  Remember when Obama used to donate his entire  400 000.00 presidential salary each year 

Me neither.
   
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
RT  mrbenwexler  Just an observation  I ve seen literally dozens of  conservative intellectuals  claim that Obama  inflamed racial tensions 
RT  alisonnorris   realDonaldTrump Stock market inauguration through yr 3

GHWB   34.2 
Clinton   42.4 
GWB   11.9 
Obama   41.7 
Trump   3 
 TheNachoBIT  RiceNstuffGD I fucking love obama man
 EvilGalProds NOPE x infinity.   

Did he forget the 8 years that Obama was President 
 CNN  CNNOpinion His name on the street will always be a reminder that Trump stands tall over Obama every day of th   
RT  MaxResende5  Michelle   uma mulher linda  inteligente  honesta  querida  boa m e e espetacular. O marido dela   um GRANDE PRESIDENTE.Pa 
 Cernovich  bfraser747  Rasmussen Poll Most Trump supporters are quiet conservatives  who until Trump made it OK di   
RT  michaelbeatty3  Can t have it both ways.
Dems   TRUMP INHERITED THIS ECONOMY FROM OBAMA. 

Every Dem 2020 candidate 
 THIS ECONOMY SUCK 
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
RT  joegooding  So I think it s safe to assume  JoeBiden didn t ask Barack Obama to  not endorse him   or withhold an endorsement  during t 
RT  CNN   Obama Avenue would serve a dual purpose The man who rose to fame by spraying his name on everything imaginable would find that ev 
RT  ZionistGirl18   KellyannePolls  politico Know how the  DNC works 
 Kamala Harris Owns A Gun But Doesn t Want YOU To

 Bernie Sanders Ma 
Lmao Sharpton  Kardashians  Robert Maddow  the Clintons  John Legends beanheaded wife  Obama  and that gay sexual p   
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
 EdgeCGroup  Mohamed25714845  JeffreyGuterman  realDonaldTrump So the number of followers determines how credible y   
RT  justinamash  There s this thing called a search engine. Could someone please help him out   
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
 AdifferentRubio  CNN Obama was  amp  is the sneakiest  amp  corrupt President we ve ever had. Hopefully thrown in jail for   
RT  ABC  Donald Trump specifically has been invoked in connection with violent acts  threats of violence or assault allegations in at least 
Governing while black.
 RawStory  There s an awful lot of really good Republicans out there  me  the cop  Mayo Pete  the majority of House   
    af2aad1f bca8 4cfd a605 bdf18af518fd
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
 wenjie1981  tyagishaleen Dalai Lama keeps on meeting all foreign PM s and Presidents. He met Obama as well. Can Ha   
Nonton Anthony Bourdain  Parts Unknown  edisi Hanoi. Ketemuan ama Obama eh trus nongkrong di warung  gitu tanpa spe   
President Obama didn t take weekends off.
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
RT  Patrici30026506  Trump Donates Second Quarter Salary To Surgeon General s Office   via  dailycaller Hey liberals 
   
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  Tony19542  Newly Released Nellie Ohr Documents Indicate Obama Deep State Involved in Scheme to Set Up Trump with Hillary Emails Using I 
RT  ZionistGirl18   KellyannePolls  politico Know how the  DNC works 
 Kamala Harris Owns A Gun But Doesn t Want YOU To

 Bernie Sanders Ma 
RT  mmpadellan  For 8 years  trump trolled Obama
  on his Birth Certificate
  on the stock market
  on vacations
  on golfing

If 5th Ave w 
 SomosTodosMichelle s  se for a Obama n  mores  
RT  BreitbartNews  Remember when Obama used to donate his entire  400 000.00 presidential salary each year 

Me neither.
   
 DrCMatthews  RealDeanCain  RIchgard obama holder fast and furious
RT  nypapajoe  Trump Has Spent 278 Years Of Presidential Salary On Taxpayer Funded Golf Trips Trump always criticized Pres.Obama who enjoye 
RT  LouDobbs   AmericaFirst   TomFitton  Halper was a spy for the Obama admin. He was tasked by the FBI to conduct intel operations against 
RT  TalbertSwan  White evangelicals 

Obama   1 wife  26 yrs  2 kids by his wife  church goer  activist  politician  no extramarrital scand 
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  EricMGarcia  Everyone who wants to say Trump was the first Republican presidential candidate to use racial division should remember tha 
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
RT  HenryArkwright   JohnJHarwood  BlueLantern92 Trump inherited a strong economy that the Obama administration had had to put back togethe 
RT  watspn1013  Warren STOP spreading LIES 

After investigation  President Barack Obama s DOJ found Michael Brown had NOT been murdered  amp  
Ahh Obama  the president who is perfect in hindsight and certainly not the one who created such a thick atmosphere   
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
RT  Margare03456100  Uh huh...    
RT  dscc  OBAMA VS. MCCONNELL  We re surveying top Dems in your area  including you. Mitch McConnell is doing everything he can to dismantl 
RT  BreitbartNews  Remember when Obama used to donate his entire  400 000.00 presidential salary each year 

Me neither.
   
RT  ZionistGirl18   KellyannePolls  politico Know how the  DNC works 
 Kamala Harris Owns A Gun But Doesn t Want YOU To

 Bernie Sanders Ma 
RT  michaelbeatty3  BOOM on RUSSIA HOAX
 Maria  WHO DO YOU THINK WAS THE MASTERMIND OF THIS 
Graham  C A  OBAMA 
 QAnon  realDonaldTrump  M 
RT  sherijr   metaquest  soledadobrien  tx blue dot  whca  jayrosen nyu I will never forget how they treated President Obama v how they suc 
RT  mmpadellan  For 8 years  trump trolled Obama
  on his Birth Certificate
  on the stock market
  on vacations
  on golfing

If 5th Ave w 
 Lamonica L Y eso con Obama o Trump
 Saint Obama of The Barracks  Steps Forward  
RT  akkitwts  We hate Trump like you hated President Obama.

However  we hate Trump because he is racist.

You hated Obama because you are 
RT  nurayf   justinamash Nobody was complaining about it during Obama  right 
RT  charliekirk11  What was built under 8 years of Obama Biden administration 

ANTIFA

Black Lives Matter

ISIS

What was built under 2.5 
RT  alissa holmes  Rename Fifth Avenue in front of Trump Tower   President Barack H. Obama Avenue      moveon  ObamaA 
RT  VickiBromboz   SharylAttkisson the black community don t want to be isolated from the white community they want to be Americans. this r 
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
RT  chrishoee  dey said chris why u never at the functions hoe you eva seen obama at a function
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
RT  benshapiro  Remember that time the Obama administration barred a member of Israeli Knesset from entering the United States in 2012  Bec 
RT  RevoltPolitic  Incrementalism and aging Obama nostalgia isn t going to get a Democrat to the White House in 2020. Political revolution 
RT  3Days3Nights  This tweet is code for  Apple is doing exactly what I tell them to avoid prosecution for spying on me during the Obama Ad 
 trumpharmsusall  NightlyPolitics  smwyzard046 Nope  orange paint doesn t qualify as youthful  fuck your standard.   
RT  bopinion  After examining 14 indicators of economic prosperity  here are the best to worst performing presidents since 1976 

1. Clinto 
RT  snowball1926  Barack is was corrupt.  Why don t Democrats admit to it   The proof is now out  but they still are in denial.   
RT  ToscaAusten   LouDobbs  TomFitton  realDonaldTrump  POTUS  The Obama Admin paid Halper  1M to spy on team Trump. Halper talked to S Clo 
RT  RealMattCouch  I don t care who people support with their money  amp  neither should you. 

What I care about is action  amp  what they say. 
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  jws2650505   AndrewPollackFL  RyanAFournier What s scary is these people believe all this propaganda.   We put up w  Obama for 8 years. 
RT  TomFitton  Mr. Brennan demonstrates the motivation behind the Obama gang s spying and sedition targeting  realDonaldTrump.   
RT  RealJack  Did you know 

A gun from Obama s fast and furious scandal was recovered in the house of El Chapo 
RT  DeportEmAllNow   Deli Fresh  DeplorableMee  One US Citizen  mynameisNegan Obama let Iran  China  NK AND Russia walk all over him. Lol
RT  JohnJHarwood  in Jan 2009  the govt Obama inherited was running  1 T budget deficit

GOP ripped him throughout his term for running up 
RT  CharlesMBlow  The petition to rename the stretch of 5th Ave in NY in front of Trump Tower  ObamaAve has gone viral and almost reached i 
RT  SeorG14  El Kirchnerismo llama a Dujovne  peor Ministro de Econom a de la historia . Parece que AMADO BOUDOU  un delincuente y corrupto 
 bridget joy  I did better under Obama
RT  MaxResende5  Michelle   uma mulher linda  inteligente  honesta  querida  boa m e e espetacular. O marido dela   um GRANDE PRESIDENTE.Pa 
RT  KelliSmith15     Rename Fifth Avenue in front of Trump Tower   President Barack H. Obama Avenue      moveon
RT  Okupuna   AlvedaCKing  EricTrump  POTUS  realDonaldTrump I am an AMerican Citizen of Mexican Heritage. When I listen to the LEFT wing m 
RT  Real  Headlines  Taking orders from enemies of freedom and the USA in particular. Obama and his handlers reach into the far  dark crevi 
RT  charliekirk11  What was built under 8 years of Obama Biden administration 

ANTIFA

Black Lives Matter

ISIS

What was built under 2.5 
 darinmbob  peterdaou So the Obama admin  that I supported  was evil just as the DT is   Nah.  Repubs Dem admins en   
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
 Jds474747D  StirlingMorris Yes  Obama was  the Great Divider. 
RT  mrbenwexler  Just an observation  I ve seen literally dozens of  conservative intellectuals  claim that Obama  inflamed racial tensions 
RT  Alankaye9  President Obama didn t take weekends off.  
RT  KellyannePolls  Must read  politico amidst gun debate. 

Those in Congress now screaming  Do Something  did Absolutely Nothing of conse 
